player_id,normalized_yellow_card,normalized_red_card,normalized_goal,normalized_assist,normalized_minutes_played,normalized_rating
10,0.0699,0.0000,0.3529,0.1838,0.5358,0.6666
26,0.0132,0.0132,0.0000,0.0000,0.7384,0.5335
65,0.0451,0.0082,0.3115,0.1066,0.5969,0.6483
77,0.0000,0.0000,0.0000,0.0000,0.6365,0.5209
80,0.0000,0.0000,0.0000,0.0000,0.7479,0.5434
109,0.0488,0.0000,0.0244,0.0488,0.7262,0.5489
123,0.0000,0.0000,0.0000,0.1429,0.5042,0.5230
132,0.0844,0.0000,0.1169,0.0520,0.4267,0.5191
215,0.0138,0.0000,0.2385,0.0734,0.4571,0.5933
258,0.0526,0.0000,0.0000,0.1053,0.4671,0.4972
264,0.0208,0.0000,0.0833,0.1250,0.4212,0.5321
276,0.0000,0.0000,0.0000,0.0000,0.3165,0.4560
277,0.1136,0.0000,0.0758,0.0606,0.5959,0.5326
299,0.1667,0.0000,0.0000,0.1667,0.6947,0.5326
325,0.0000,0.0000,0.0000,0.0000,0.7479,0.5434
332,0.0000,0.0000,0.0000,0.0000,0.0828,0.4086
410,0.0591,0.0000,0.0323,0.0645,0.5871,0.5250
411,0.0667,0.0000,0.0667,0.0000,0.5860,0.5241
447,0.0000,0.0000,0.0000,0.0000,0.7068,0.5351
488,0.0263,0.0000,0.0000,0.0000,0.6988,0.5282
532,0.0160,0.0000,0.2834,0.1283,0.2967,0.5897
557,0.0000,0.0000,0.0000,0.0000,0.7479,0.5434
568,0.0900,0.0100,0.0800,0.0000,0.7149,0.5469
597,0.0263,0.0000,0.0526,0.1711,0.5460,0.5532
598,0.0100,0.0000,0.0000,0.0000,0.7479,0.5414
670,0.0000,0.0000,0.0000,0.2222,0.2017,0.4778
690,0.0000,0.0000,0.3333,0.0000,0.1737,0.5622
691,0.0431,0.0086,0.1035,0.0690,0.5800,0.5531
735,0.0455,0.0000,0.0000,0.0909,0.5027,0.5029
755,0.0811,0.0000,0.0270,0.0000,0.6509,0.5183
773,0.0000,0.0000,0.0000,0.0000,0.4605,0.4852
823,0.0918,0.0000,0.0204,0.0408,0.6814,0.5279
831,0.0625,0.0000,0.0000,0.0000,0.2731,0.4345
837,0.1094,0.0000,0.0938,0.0938,0.6544,0.5593
886,0.1389,0.0000,0.1111,0.0000,0.7390,0.5585
892,0.0333,0.0000,0.0000,0.0000,0.7227,0.5316
933,0.1216,0.0000,0.0541,0.0631,0.6438,0.5324
992,0.0000,0.0000,0.0000,0.0000,0.7479,0.5434
1073,0.0758,0.0000,0.0909,0.0606,0.5582,0.5388
1075,0.0357,0.0000,0.2500,0.1071,0.4670,0.6023
1083,0.1429,0.0000,0.0357,0.0714,0.6825,0.5302
1094,0.1538,0.0000,0.0256,0.0513,0.6255,0.5082
1095,0.0000,0.0000,0.0000,0.3333,0.3333,0.5270
1116,0.1304,0.0435,0.0000,0.0000,0.6412,0.4777
1126,0.1345,0.0000,0.0504,0.0504,0.7036,0.5379
1139,0.0926,0.0000,0.0247,0.0123,0.7208,0.5317
1144,0.0000,0.0000,0.0000,0.0000,0.4244,0.4778
1150,0.0303,0.0000,0.0000,0.0000,0.7441,0.5365
1161,0.0082,0.0000,0.0000,0.0164,0.6264,0.5205
1197,0.1667,0.0000,0.2222,0.0000,0.3763,0.5244
1277,0.1562,0.0000,0.0156,0.1094,0.6721,0.5249
1321,0.1769,0.0154,0.0461,0.1231,0.6313,0.5214
1327,0.1250,0.0000,0.0500,0.0250,0.5233,0.4979
1331,0.0825,0.0000,0.3301,0.0874,0.5352,0.6351
1335,0.0286,0.0000,0.0000,0.0571,0.6891,0.5373
1363,0.0676,0.0541,0.0000,0.0000,0.7279,0.5038
1368,0.0407,0.0000,0.0233,0.0349,0.6334,0.5285
1381,0.0000,0.0000,0.0000,0.0000,0.7479,0.5434
1397,0.0000,0.0000,0.1111,0.0000,0.1288,0.4630
1423,0.0360,0.0000,0.0144,0.1367,0.7298,0.5660
1426,0.0658,0.0000,0.0526,0.1053,0.3410,0.4903
1428,0.0231,0.0000,0.1385,0.0769,0.3479,0.5294
1443,0.0495,0.0099,0.0198,0.0495,0.4950,0.4962
1474,0.0000,0.0000,0.0000,0.0000,0.7479,0.5434
1496,0.0000,0.0000,0.0000,0.0000,0.5000,0.4932
1532,0.0882,0.0000,0.0588,0.1177,0.5744,0.5381
1560,0.0000,0.0000,0.0000,0.0000,0.5683,0.5070
1565,0.0333,0.0000,0.5111,0.0963,0.6667,0.7470
1568,0.0577,0.0000,0.3077,0.0000,0.5013,0.6065
1572,0.0000,0.0000,0.0000,0.0000,0.2353,0.4395
1573,0.0000,0.0000,0.0000,0.0000,0.3287,0.4585
1586,0.1078,0.0000,0.0431,0.0172,0.6925,0.5313
1587,0.0625,0.0000,0.0625,0.0312,0.6988,0.5525
1606,0.1571,0.0000,0.0286,0.0000,0.7092,0.5153
1613,0.0833,0.1667,0.0000,0.0000,0.5490,0.4187
1659,0.0312,0.0000,0.0000,0.0000,0.3813,0.4628
1662,0.0578,0.0000,0.0083,0.1074,0.6612,0.5393
1667,0.0226,0.0000,0.0000,0.0000,0.7417,0.5376
1684,0.2500,0.0000,0.0000,0.0000,0.5500,0.4526
1716,0.0714,0.0000,0.1429,0.2143,0.6297,0.6063
1725,0.0152,0.0000,0.0000,0.0000,0.7260,0.5359
1726,0.0833,0.0000,0.0635,0.0397,0.6974,0.5501
1772,0.0000,0.0000,0.0000,0.0000,0.2276,0.4380
1784,0.0417,0.0069,0.0000,0.0208,0.7419,0.5352
1791,0.0159,0.0000,0.1847,0.1147,0.5746,0.6032
1792,0.0879,0.0000,0.0220,0.0989,0.5506,0.5146
1841,0.0833,0.0000,0.0000,0.0000,0.1695,0.4093
1896,0.1064,0.0106,0.0106,0.0532,0.5057,0.4836
1944,0.0208,0.0417,0.0000,0.0000,0.6537,0.5032
1986,0.1029,0.0098,0.0784,0.0490,0.5572,0.5217
2048,0.1129,0.0000,0.0323,0.0000,0.7360,0.5312
2050,0.0652,0.0000,0.2319,0.0000,0.3425,0.5421
2138,0.1833,0.0000,0.0167,0.0000,0.6850,0.5003
2148,0.0282,0.0000,0.1127,0.0986,0.3350,0.5197
2150,0.0167,0.0000,0.0333,0.0333,0.4969,0.5094
2201,0.0000,0.0000,0.0000,0.0000,0.7551,0.5449
2219,0.0332,0.0000,0.0284,0.1659,0.6964,0.5714
2233,0.0758,0.0000,0.0606,0.0909,0.6804,0.5574
2309,0.1071,0.0000,0.0000,0.1429,0.4250,0.4852
2334,0.0429,0.0000,0.0286,0.0571,0.6403,0.5361
2358,0.1613,0.0000,0.0000,0.0968,0.5861,0.4975
2386,0.0000,0.0000,0.0000,0.0000,0.7479,0.5434
2421,0.0270,0.0000,0.0000,0.0270,0.7547,0.5448
2453,0.0833,0.0000,0.0833,0.0833,0.2108,0.4683
2514,0.0951,0.0000,0.1690,0.1901,0.5988,0.6010
2583,0.0000,0.0000,0.0000,0.0000,0.6000,0.5135
2587,0.1370,0.0148,0.0148,0.0296,0.7092,0.5138
2623,0.0238,0.0000,0.0952,0.0714,0.3744,0.5160
2703,0.0521,0.0000,0.1875,0.0625,0.4245,0.5560
2712,0.0714,0.0000,0.2143,0.0000,0.2815,0.5213
2726,0.0000,0.0000,0.0000,0.0000,0.7479,0.5434
2767,0.0593,0.0169,0.1356,0.0000,0.5277,0.5349
2805,0.0222,0.0000,0.0222,0.1778,0.5096,0.5357
2857,0.0000,0.0000,0.0000,0.0000,0.7366,0.5412
2865,0.1149,0.0000,0.0498,0.1149,0.6120,0.5361
