Team Name,URL,Matches Overview.Matches played.Won,Matches Overview.Matches played.Drawn,Matches Overview.Matches played.Lost,Basic Statistics.Goals,Basic Statistics.Goals conceded,Basic Statistics.Possession (%),Basic Statistics.Passing accuracy (%),Basic Statistics.Balls recovered,Basic Statistics.Tackles won,Basic Statistics.Clean sheets,Basic Statistics.Saves,Basic Statistics.Distance covered (km),Basic Statistics.Yellow cards,Basic Statistics.Red cards,Advanced Statistics.Key stats.Matches played.Won,Advanced Statistics.Key stats.Matches played.Drawn,Advanced Statistics.Key stats.Matches played.Lost,Advanced Statistics.Key stats.Goals,Advanced Statistics.Key stats.Goals conceded,Advanced Statistics.Key stats.Possession (%),Advanced Statistics.Key stats.Passing accuracy (%),Advanced Statistics.Key stats.Balls recovered,Advanced Statistics.Key stats.Tackles won,Advanced Statistics.Key stats.Clean sheets,Advanced Statistics.Key stats.Saves,Advanced Statistics.Key stats.Distance covered (km),Advanced Statistics.Key stats.Yellow cards,Advanced Statistics.Key stats.Red cards,Advanced Statistics.Attacking.Goals .Goals inside area,Advanced Statistics.Attacking.Goals .Goals outside area,Advanced Statistics.Attacking.Total attempts.Attempts on target,Advanced Statistics.Attacking.Total attempts.Attempts off target,Advanced Statistics.Attacking.Total attempts.Blocked,Advanced Statistics.Attacking.Woodwork .Crossbar,Advanced Statistics.Attacking.Woodwork .Post,Advanced Statistics.Attacking.Right foot,Advanced Statistics.Attacking.Left foot,Advanced Statistics.Attacking.Head,Advanced Statistics.Attacking.Other,Advanced Statistics.Attacking.Own goals for,Advanced Statistics.Attacking.Assists,Advanced Statistics.Attacking.Attacks,Advanced Statistics.Attacking.Clear chances,Advanced Statistics.Attacking.Penalties scored,Advanced Statistics.Attacking.Penalties missed,Advanced Statistics.Attacking.Penalties awarded,Advanced Statistics.Attacking.Corners taken,Advanced Statistics.Attacking.Offsides,Advanced Statistics.Attacking.Dribbles,Advanced Statistics.Attacking.Runs into attacking third,Advanced Statistics.Attacking.Runs into key play area,Advanced Statistics.Attacking.Runs into penalty area,Advanced Statistics.Distribution.Possession (%),Advanced Statistics.Distribution.Passes completed,Advanced Statistics.Distribution.Short passes completed,Advanced Statistics.Distribution.Medium passes completed,Advanced Statistics.Distribution.Long passes completed,Advanced Statistics.Distribution.Backward passes completed,Advanced Statistics.Distribution.Passes completed to left,Advanced Statistics.Distribution.Passes completed to right,Advanced Statistics.Distribution.Crossing accuracy (%),Advanced Statistics.Distribution.Crosses completed,Advanced Statistics.Distribution.Free-kicks taken,Advanced Statistics.Distribution.Times in possession,Advanced Statistics.Distribution.Passes into attacking third,Advanced Statistics.Distribution.Passes into key play area,Advanced Statistics.Distribution.Passes into penalty area,Advanced Statistics.Defending.Tackles .Tackles won,Advanced Statistics.Defending.Tackles .Tackles lost,Advanced Statistics.Defending.Balls recovered,Advanced Statistics.Defending.Blocks,Advanced Statistics.Defending.Own goals conceded,Advanced Statistics.Defending.Penalties conceded,Advanced Statistics.Defending.Clearances completed,Advanced Statistics.Defending.Attempts conceded off target,Advanced Statistics.Defending.Attempts conceded on target,Advanced Statistics.Goalkeeping.Saves,Advanced Statistics.Goalkeeping.Saves from direct free-kicks,Advanced Statistics.Goalkeeping.Saves from indirect free-kicks,Advanced Statistics.Goalkeeping.Saves from penalties,Advanced Statistics.Goalkeeping.Goals conceded,Advanced Statistics.Goalkeeping.Clean sheets,Advanced Statistics.Goalkeeping.Claims,Advanced Statistics.Goalkeeping.High claims,Advanced Statistics.Goalkeeping.Low claims,Advanced Statistics.Goalkeeping.Punches made,Advanced Statistics.Disciplinary.Yellow cards,Advanced Statistics.Disciplinary.Red cards,Advanced Statistics.Disciplinary.Fouls committed,Advanced Statistics.Disciplinary.Fouls committed in defensive third,Advanced Statistics.Disciplinary.Fouls committed in own half,Advanced Statistics.Disciplinary.Fouls suffered
England,https://www.uefa.com/euro2024/teams/39--england/,2.0,2.0,0.0,4.0,2.0,0.605,0.895,157.0,22.0,2.0,10.0,487.55,7.0,0.0,2.0,2.0,0.0,4.0,2.0,0.605,0.895,157.0,22.0,2.0,10.0,487.55,7.0,0.0,4.0,0.0,12.0,18.0,14.0,0.0,2.0,1.0,1.0,2.0,0.0,0.0,3.0,193.0,1.0,0.0,0.0,0.0,18.0,4.0,74.0,54.0,54.0,19.0,0.605,0.8932791728212703,0.8683385579937304,0.9376739009460211,0.6593406593406593,0.9650205761316872,0.9335142469470827,0.9420485175202157,0.2657,0.265625,66.0,697.0,177.0,123.0,51.0,22.0,25.0,157.0,13.0,0.0,0.0,0.7708333333333334,15.0,12.0,10.0,0.0,0.0,0.0,2.0,2.0,9.0,2.0,7.0,2.0,7.0,0.0,36.0,5.0,13.0,60.0
Sweden,https://www.uefa.com/european-qualifiers/teams/127--sweden/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
North Macedonia,https://www.uefa.com/european-qualifiers/teams/59205--north-macedonia/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Montenegro,https://www.uefa.com/european-qualifiers/teams/92853--montenegro/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Republic of Ireland,https://www.uefa.com/european-qualifiers/teams/64--republic-of-ireland/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
San Marino,https://www.uefa.com/european-qualifiers/teams/50168--san-marino/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Moldova,https://www.uefa.com/european-qualifiers/teams/57160--moldova/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Faroe Islands,https://www.uefa.com/european-qualifiers/teams/51218--faroe-islands/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Malta,https://www.uefa.com/european-qualifiers/teams/88--malta/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Norway,https://www.uefa.com/european-qualifiers/teams/101--norway/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lithuania,https://www.uefa.com/european-qualifiers/teams/56557--lithuania/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Northern Ireland,https://www.uefa.com/european-qualifiers/teams/63--northern-ireland/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
