Team Name,URL
England,/euro2024/teams/39--england/
Germany,/euro2024/teams/47--germany/
Spain,/euro2024/teams/122--spain/
Switzerland,/euro2024/teams/128--switzerland/
Austria,/euro2024/teams/8--austria/
Belgium,/euro2024/teams/13--belgium/
Denmark,/euro2024/teams/35--denmark/
France,/euro2024/teams/43--france/
Georgia,/euro2024/teams/57157--georgia/
Italy,/euro2024/teams/66--italy/
Netherlands,/euro2024/teams/95--netherlands/
Portugal,/euro2024/teams/110--portugal/
Romania,/euro2024/teams/113--romania/
Slovakia,/euro2024/teams/58836--slovakia/
Slovenia,/euro2024/teams/57163--slovenia/
Türkiye,/euro2024/teams/135--turkiye/
Albania,/euro2024/teams/2--albania/
Croatia,/euro2024/teams/56370--croatia/
Czechia,/euro2024/teams/58837--czechia/
Hungary,/euro2024/teams/57--hungary/
Poland,/euro2024/teams/109--poland/
Scotland,/euro2024/teams/117--scotland/
Serbia,/euro2024/teams/147--serbia/
Ukraine,/euro2024/teams/57166--ukraine/
Greece,/european-qualifiers/teams/49--greece/
Iceland,/european-qualifiers/teams/58--iceland/
Wales,/european-qualifiers/teams/144--wales/
Bosnia and Herzegovina,/european-qualifiers/teams/60094--bosnia-and-herzegovina/
Estonia,/european-qualifiers/teams/56556--estonia/
Finland,/european-qualifiers/teams/42--finland/
Israel,/european-qualifiers/teams/65--israel/
Kazakhstan,/european-qualifiers/teams/65146--kazakhstan/
Luxembourg,/european-qualifiers/teams/82--luxembourg/
Andorra,/european-qualifiers/teams/60618--andorra/
Armenia,/european-qualifiers/teams/57419--armenia/
Azerbaijan,/european-qualifiers/teams/57154--azerbaijan/
Belarus,/european-qualifiers/teams/57155--belarus/
Bulgaria,/european-qualifiers/teams/20--bulgaria/
Cyprus,/european-qualifiers/teams/33--cyprus/
Faroe Islands,/european-qualifiers/teams/51218--faroe-islands/
Gibraltar,/european-qualifiers/teams/94080--gibraltar/
Kosovo,/european-qualifiers/teams/2608110--kosovo/
Latvia,/european-qualifiers/teams/56558--latvia/
Liechtenstein,/european-qualifiers/teams/81--liechtenstein/
Lithuania,/european-qualifiers/teams/56557--lithuania/
Malta,/european-qualifiers/teams/88--malta/
Moldova,/european-qualifiers/teams/57160--moldova/
Montenegro,/european-qualifiers/teams/92853--montenegro/
North Macedonia,/european-qualifiers/teams/59205--north-macedonia/
Northern Ireland,/european-qualifiers/teams/63--northern-ireland/
Norway,/european-qualifiers/teams/101--norway/
Republic of Ireland,/european-qualifiers/teams/64--republic-of-ireland/
San Marino,/european-qualifiers/teams/50168--san-marino/
Sweden,/european-qualifiers/teams/127--sweden/
